model,pk,fields_password,fields_last_login,fields_public_id,fields_username,fields_first_name,fields_last_name,fields_email,fields_is_active,fields_is_staff,fields_is_superuser,fields_created,fields_updated,fields_groups,fields_user_permissions
core_user.user,1,pbkdf2_sha256$870000$O0c8jmrH9PAQhghcJSCDIa$wIXQsoPRQ4/AJAeRxARC//24S2XrFrsn58Oi0BAlNDY=,,04501d42-c480-447a-816a-401d2c5a4e44,test,,,test@test.com,True,True,True,2024-08-30T14:17:30.584Z,2024-08-30T14:17:30.592Z,[],[]
core_user.user,2,pbkdf2_sha256$870000$2KVTlx3RCSH2fMq8yPolHe$bVCXoliQYLYpqmgIFbYq+CiDfyLHWkxdoVTJKrZ5oy4=,,bd3581a6-c817-489f-a343-f3d7a20b9679,johndoe,John,Doe,johndoe@gmail.com,True,False,False,2024-08-30T14:22:59.382Z,2024-08-30T14:22:59.382Z,[],[]
core_user.user,3,pbkdf2_sha256$870000$1fy61bNiZP4AqbPsEcVW6X$9g8U2qbuzWwpXDYavRZs/ApNUY2GR7sUTW9qXcPLmb4=,,a722c9ea-db8e-4497-a382-ebc8ed68f62f,atabekdemurtaza,Atabek,Murtazaev,atabekdemurtaza@gmail.com,True,False,False,2024-09-01T10:30:02.614Z,2024-09-01T10:30:02.614Z,[],[]
core_user.user,4,pbkdf2_sha256$870000$87tkz6FVYPNStyyWLI6vXS$91UWc9/va3Mzh72eOAYKXPCX3hr2ifGqGOof1XpOdls=,,abda807b-88f9-4ffa-8a1d-a91f8470b9c0,sherzad,,,sherzadyuldashev@test.com,True,False,False,2024-09-01T10:55:25.697Z,2024-09-01T10:55:25.697Z,[],[]
core_user.user,5,pbkdf2_sha256$870000$vPzOqAWrA1jRQwZhbpVJRE$uSoJwoUuEWfgvAwdDSfO93NOuaecKFDyU7G8JzjiJ1I=,,84214d71-4446-431f-9059-f3e19ef9d958,anvar,,,anvar@test.com,True,False,False,2024-09-01T10:55:25.954Z,2024-09-01T10:55:25.954Z,[],[]
core_user.user,6,pbkdf2_sha256$870000$QcO8O2zLgdHvLUDKnULcWK$a7PTGg1ALkTSur1nLhtNwnbZ/02LcJQTtkHcwLBDjFg=,,7c4e8287-3260-4eec-8a9d-f959c88e9292,iwilson,Laurie,Shah,jennifer40@example.net,True,False,False,2024-09-01T11:10:18.714Z,2024-09-01T11:10:18.714Z,[],[]
core_user.user,7,pbkdf2_sha256$870000$rcxVImgsPngCaojlvIJGyk$1Uq5F+dJQr09Nud3Z+9USHVG72WPl+Mg0RnX9t1rVAs=,,a372462e-6022-4dbb-bf72-868e402c2be0,mark49,Corey,Chandler,jameshamilton@example.com,True,False,False,2024-09-01T11:10:18.946Z,2024-09-01T11:10:18.946Z,[],[]
core_user.user,8,pbkdf2_sha256$870000$0i7pQpLwqgGtSWELWuoyWb$RBstDtoGbdNIanPDKTt/FbIEt/UcChF11/75svA8/2M=,,f754597a-88b9-4930-a6b6-113699fccdd4,wileymarcia,Stephanie,Greer,andrew38@example.com,True,False,False,2024-09-01T11:10:19.175Z,2024-09-01T11:10:19.175Z,[],[]
core_user.user,9,pbkdf2_sha256$870000$oxfqsb3uJEQj7DwTQFotum$B0llEmKv3IzoJW8zbvGY/0P2QIg4PcznNiseNBCAthc=,,7780ac0d-0ee7-4883-84d6-b072d7cedb6b,jclark,David,Morgan,klinenicholas@example.com,True,False,False,2024-09-01T11:10:19.407Z,2024-09-01T11:10:19.407Z,[],[]
core_user.user,10,pbkdf2_sha256$870000$mPCOl1opymkqMjY3RbNH6e$D4XdlbXfsv+Z0LKuBa8P3Vm3RrXAViRDWbkKV/+7Uzk=,,0613dfd4-1ea9-481a-b196-8e41fb494494,riveratracy,Debra,Henry,brownsarah@example.com,True,False,False,2024-09-01T11:10:19.638Z,2024-09-01T11:10:19.638Z,[],[]
